Category,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,Class
Ransomware-Conti-0acab6c956e35f8d4b37df3e2c3817444abd817049825a61d2efb78fa403d24e-10.raw,38,15,10.10526316,0,213.6842105,1490,39.21052632,8120,213.6842105,0,635,2859,41,675,685,98,598,116,175,253,44,81,44,0.029294274,0.053928096,0.029294274,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.105263158,0.052631579,0.157894737,138,389,221,26,24,116,0,118,86,0,8,Malware
Benign,41,12,13.39182757,0,306.3749598,2149,52.41938516,12561,306.3749598,0,1089,4407,45,929,1208,103,771,143,416,410,87,125,87,0.040362933,0.057986189,0.040362933,6,7,36,1.2,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.146341463,138,395,222,26,27,118,0,123,88,0,8,Benign
Spyware-CWS-0b5f27693d84662626b7367a01c8bc32c8eba11bc28061c9dc23f28586186790-2.raw,42,16,10.45238095,0,215.5238095,1643,39.11904762,9053,220.804878,0,853,3031,44,677,826,104,684,126,186,281,47,87,47,0.027843602,0.051540284,0.027843602,56,10837,336,11.2,0,0,1,0,5,2,7,0.0,0.0,0.023809524,0.0,0.119047619,0.047619048,0.166666667,138,389,221,26,24,116,0,122,87,0,8,Malware
Benign,41,14,12.70494698,0,288.4636444,2050,50.0,11827,288.4636444,0,1049,4129,45,848,1115,103,735,145,366,353,60,98,60,0.02955665,0.048275862,0.02955665,4,5,24,1.333333333,3,0,3,3,7,5,8,0.068181818,0.0,0.068181818,0.068181818,0.159090909,0.113636364,0.181818182,138,395,222,26,27,118,0,123,88,0,8,Benign
Ransomware-Shade-3e30ddddc154e46d42c833c052be0d50847f133af44b64e2e42a1a40335d8446-8.raw,40,16,9.475,0,204.1,1503,37.575,8164,204.1,0,652,2867,43,691,695,98,602,113,162,232,46,85,46,0.030243261,0.055884287,0.030243261,4,4,24,1.0,4,0,4,4,8,6,10,0.090909091,0.0,0.090909091,0.090909091,0.181818182,0.136363636,0.227272727,138,389,221,26,24,116,0,119,87,0,8,Malware
Benign,53,17,11.17704736,0,255.3940341,2418,45.62264151,13535,255.3940341,0,1104,4696,60,1019,1229,126,792,157,461,462,114,165,114,0.045949214,0.066505441,0.045949214,9,10,54,1.125,0,0,0,0,4,2,6,0.013394409,0.0,0.013394409,0.013394409,0.087855208,0.050624809,0.125085608,138,392,222,26,24,118,0,126,87,0,8,Benign
Benign,43,18,11.20002824,0,266.0891628,1927,44.81395349,11442,272.4484286,0,892,3935,48,998,947,106,763,137,380,398,80,120,80,0.040920716,0.061381074,0.040920716,6,8,36,1.5,11,0,12,11,16,13,18,0.212408153,0.0,0.230724242,0.212408153,0.3039886,0.249040332,0.340620779,138,392,222,26,24,118,0,126,87,0,8,Benign
Spyware-Transponder-0b3322c5e13ffb63aa8fb43d2bbb73a796e24ce90f6daff4df43c094fcc04468-8.raw,37,15,10.2972973,0,215.2972973,1446,39.08108108,7966,215.2972973,0,621,2830,40,671,658,92,559,117,162,223,42,78,42,0.028244788,0.052454607,0.028244788,3,3,18,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.135135135,138,389,221,26,24,116,0,122,88,0,8,Malware
Trojan-Refroso-28071a1decdadfd8261a11694b7f515b-4.raw,47,20,9.446808511,0,198.1914894,1819,38.70212766,9316,202.5217391,0,690,3182,49,741,817,114,695,135,194,306,56,101,56,0.029962547,0.054039593,0.029962547,8,32,48,1.6,0,0,1,0,5,2,8,0.0,0.0,0.021276596,0.0,0.106382979,0.042553191,0.170212766,138,389,221,26,24,116,0,122,86,0,8,Malware
Benign,41,12,12.75308075,0,282.4566138,1997,48.72741187,11580,282.4566138,0,1048,4104,45,772,1108,102,710,143,382,330,59,96,59,0.030437883,0.049526254,0.030437883,4,5,24,1.333333333,0,0,0,0,4,2,5,0.005752995,0.0,0.005752995,0.005752995,0.102752704,0.05425285,0.129879128,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,44,12,12.47727273,0,282.5504232,2133,48.47727273,12432,282.5504232,0,1156,4433,48,828,1188,109,745,151,459,350,72,112,72,0.034930515,0.054078718,0.034930515,4,5,24,1.333333333,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.090909091,0.045454545,0.136363636,138,395,222,26,27,118,0,124,88,0,8,Benign
Trojan-Emotet-00e4236fd9c5f8ec7949ed00cc0385c93f7cd45017c526082ef38f870b22f17e-10.raw,38,15,9.631578947,0,201.9473684,1446,38.05263158,7674,201.9473684,0,641,2672,40,623,634,94,588,107,139,225,44,81,44,0.029931973,0.055102041,0.029931973,2,2,12,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.105263158,0.052631579,0.157894737,138,389,221,26,24,116,0,119,86,0,8,Malware
Benign,42,12,13.76059513,0,308.3042853,2194,52.26164283,12948,308.3042853,0,1158,4629,46,877,1282,105,780,142,438,403,79,119,79,0.036895665,0.055346037,0.036895665,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.095238095,0.047619048,0.142857143,138,395,222,26,27,118,0,125,88,0,8,Benign
Benign,32,11,12.27579659,0,276.9083034,1550,47.02508165,9134,294.8491945,0,688,3139,33,758,786,86,667,125,235,312,60,87,60,0.040629468,0.058605817,0.040629468,3,4,18,1.5,5,0,7,5,11,7,13,0.153497612,0.0,0.204831299,0.153497612,0.307498674,0.204831299,0.358832361,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,43,17,10.39534884,0,249.1219338,1843,42.86046512,10713,255.077218,0,826,3754,48,905,859,105,725,134,358,337,75,115,75,0.040192926,0.061629153,0.040192926,4,5,24,1.333333333,9,0,10,9,14,11,16,0.173076923,0.0,0.192307692,0.173076923,0.269230769,0.211538462,0.307692308,138,392,222,26,24,118,0,126,87,0,8,Benign
Trojan-Zeus-2ac2ac35aa2c293bf609d71d77523c19684501ffa425b0495259a245c971794a-9.raw,37,15,10.16216216,0,215.1621622,1453,39.27027027,7961,215.1621622,0,632,2813,40,668,659,92,596,113,162,230,43,79,43,0.02931152,0.053851397,0.02931152,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.162162162,138,389,221,26,24,116,0,120,86,0,8,Malware
Benign,52,17,11.38222082,0,263.8655216,2333,44.75085504,13757,273.0625171,0,1195,4735,56,1026,1246,124,798,150,526,480,93,141,93,0.039228492,0.059619099,0.039228492,5,6,33,1.233188199,1,0,3,1,7,3,9,0.032055763,0.0,0.064111525,0.032055763,0.138373572,0.069186786,0.175504595,138,392,222,26,24,118,0,126,87,0,8,Benign
Trojan-Scar-ec6974fa2f5794b95729a628a23077c4-7.raw,38,15,10.0,0,214.2368421,1492,39.26315789,8141,214.2368421,0,635,2850,41,680,678,98,600,116,176,249,46,83,46,0.030363036,0.054785479,0.030363036,3,3,18,1.0,2,0,2,2,6,4,8,0.05,0.0,0.05,0.05,0.15,0.1,0.2,138,389,221,26,24,116,0,119,87,0,8,Malware
Benign,42,12,12.85781651,0,290.1673403,2054,48.9047619,12187,290.1673403,0,1133,4363,46,813,1176,105,736,145,454,338,66,104,66,0.032950574,0.051922117,0.032950574,3,4,18,1.5,1,0,1,1,5,3,7,0.023255814,0.0,0.023255814,0.023255814,0.11627907,0.069767442,0.162790698,138,395,222,26,27,118,0,123,88,0,8,Benign
Spyware-Transponder-0a1ab5cbcede0d7e20affe6017630d2caaeaac177f758e6caf8be3532e765a6f-5.raw,45,19,9.377777778,0,196.1777778,1692,37.6,8828,196.1777778,0,673,3032,48,709,759,111,652,132,192,273,58,102,58,0.033295063,0.058553387,0.033295063,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.088888889,0.044444444,0.133333333,138,389,221,26,24,116,0,122,87,0,8,Malware
Benign,40,12,12.96114989,0,292.1407666,1985,49.625,11685,292.1407666,0,1111,4093,44,803,1116,101,729,141,431,333,64,100,64,0.033126294,0.051759834,0.033126294,3,4,18,1.5,0,0,0,0,4,2,6,0.019886145,0.0,0.019886145,0.019886145,0.11789753,0.068891838,0.166903223,138,395,222,26,27,118,0,122,88,0,8,Benign
Benign,39,12,13.06666963,0,293.4512851,1941,49.76923077,11444,293.4512851,0,1031,4058,43,801,1089,99,723,140,396,329,63,98,63,0.033386328,0.051934287,0.033386328,3,4,18,1.5,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.102564103,0.051282051,0.153846154,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,42,12,13.85714286,0,308.259504,2193,52.21428571,12946,308.259504,0,1133,4513,46,943,1264,105,772,147,437,461,89,128,89,0.040417802,0.058128974,0.040417802,7,8,42,1.166666667,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.095238095,0.047619048,0.142857143,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,65,19,11.10763918,0,257.8407256,3070,47.15288266,16788,260.0166848,0,1469,6028,69,1197,1574,147,937,164,657,521,119,181,119,0.038331011,0.058346073,0.038331011,11,60,69,1.77310474,0,0,0,0,4,2,6,0.004189815,0.0,0.012569446,0.004189815,0.073760128,0.034785157,0.10435547,138,392,222,26,24,118,0,126,87,0,8,Benign
Benign,42,12,13.4047619,0,294.0238095,2085,49.64285714,12349,294.0238095,0,1111,4505,46,801,1214,104,746,142,407,356,70,110,70,0.034179688,0.053710938,0.034179688,4,5,24,1.333333333,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.095238095,0.047619048,0.142857143,138,395,222,26,27,118,0,126,88,0,8,Benign
Spyware-CWS-0adc58bf79a03249a750530754c48d8ff5f193ec56e1133ac189c7410352cdfb-5.raw,40,16,9.875,0,209.35,1560,39.0,8374,209.35,0,645,2933,43,669,707,101,606,123,178,263,46,85,46,0.028785982,0.053191489,0.028785982,3,3,18,1.0,5,0,5,5,9,7,11,0.111111111,0.0,0.111111111,0.111111111,0.2,0.155555556,0.244444444,138,389,221,26,24,116,0,122,86,0,8,Malware
Benign,43,12,13.39932711,0,291.9540901,2148,49.09441719,12776,291.9540901,0,1138,4732,47,791,1284,107,751,142,438,348,74,115,74,0.035031158,0.054773091,0.035031158,4,5,24,1.333333333,0,0,0,0,4,2,6,0.00265299,0.0,0.00265299,0.00265299,0.093803262,0.048228126,0.139378398,138,395,222,26,27,118,0,124,88,0,8,Benign
Spyware-Transponder-1b53d223091cc65c6fb54f416592606cb77826f8075113f48a69855cf5e72eff-1.raw,39,15,11.48717949,0,221.3333333,1569,40.23076923,8632,221.3333333,0,647,3010,42,655,835,99,640,120,177,259,47,85,47,0.029102167,0.052631579,0.029102167,3,3,18,1.0,5,0,5,5,9,7,11,0.113636364,0.0,0.113636364,0.113636364,0.204545455,0.159090909,0.25,138,389,221,26,24,116,0,123,86,0,8,Malware
Benign,31,11,13.68125715,0,305.5581369,1571,50.67741935,9473,315.7767415,0,740,3196,33,759,838,82,685,123,262,344,56,83,56,0.036152356,0.053582957,0.036152356,3,4,18,1.5,8,0,9,8,13,10,15,0.205128205,0.0,0.230769231,0.205128205,0.333333333,0.256410256,0.384615385,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,40,13,14.49215596,0,293.0431531,1996,49.59701865,11795,293.0431531,0,1037,4107,44,814,1218,100,715,141,377,346,52,91,52,0.026120532,0.045710931,0.026120532,3,4,22,1.247559489,0,0,0,0,4,2,5,0.011968443,0.0,0.011968443,0.011968443,0.110173177,0.06107081,0.140708582,138,395,222,26,27,118,0,123,88,0,8,Benign
Spyware-Transponder-00f217cc93b102d158ebf5eaa60399f4f967a96ed30cf5e84ef10bd3d072e84c-4.raw,43,17,9.837209302,0,208.4651163,1660,38.60465116,8965,213.452381,0,864,3008,45,688,768,106,662,129,191,284,47,88,47,0.02758216,0.051643192,0.02758216,61,18559,366,12.2,1,0,2,1,6,3,8,0.022727273,0.0,0.045454545,0.022727273,0.136363636,0.068181818,0.181818182,138,389,221,26,24,116,0,123,86,0,8,Malware
Trojan-Zeus-1faa8b89a73240f64c802ee0df48d2dfd0bf2f7a1bc7ee92f5a6cfe9f46e0625-6.raw,41,16,9.585365854,0,204.8536585,1568,38.24390244,8399,204.8536585,0,656,2930,44,738,694,100,616,119,173,244,47,87,47,0.029485571,0.054579674,0.029485571,4,4,24,1.0,2,0,2,2,6,4,8,0.046511628,0.0,0.046511628,0.046511628,0.139534884,0.093023256,0.186046512,138,389,221,26,24,116,0,121,87,0,8,Malware
Benign,43,12,13.14912226,0,299.4984345,2223,51.69767442,12878,299.4984345,0,1152,4547,47,888,1240,111,776,145,440,424,80,121,80,0.036429872,0.055100182,0.036429872,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,44,12,13.16420691,0,289.5163202,2153,48.93181818,12738,289.5163202,0,1138,4709,48,791,1265,108,751,143,439,347,74,116,74,0.03490566,0.054716981,0.03490566,4,5,24,1.333333333,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.090909091,0.045454545,0.136363636,138,395,222,26,27,118,0,125,88,0,8,Benign
Spyware-CWS-0bf3161ccb6393c180ea4a2971bc2e154018bb911b829bf8826d19dfa42e8862-9.raw,40,16,9.575,0,203.05,1500,37.5,8122,203.05,0,646,2868,43,695,674,98,602,113,162,233,43,82,43,0.028401585,0.054161162,0.028401585,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,389,221,26,24,116,0,119,87,0,8,Malware
Benign,41,13,12.99621396,0,301.1181652,2141,52.2195122,12345,301.1181652,0,1071,4339,45,904,1159,103,766,143,404,403,82,120,82,0.038246269,0.055970149,0.038246269,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.146341463,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,47,19,11.61702128,0,242.4680851,2074,44.12765957,11396,242.4680851,0,839,3767,51,1012,1035,117,766,148,337,394,77,123,77,0.036150235,0.057746479,0.036150235,12,77,72,1.714285714,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.085106383,0.042553191,0.127659574,138,392,222,26,24,118,0,122,87,0,8,Benign
Benign,40,12,13.25,0,299.9,2044,51.1,11996,299.9,0,1074,4250,44,852,1140,100,745,140,407,395,79,116,79,0.038668625,0.056779246,0.038668625,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,44,12,12.55413231,0,286.2429752,2153,48.93181818,12594,286.2429752,0,1127,4663,48,791,1203,108,751,143,426,347,74,116,74,0.03490566,0.054716981,0.03490566,4,5,24,1.333333333,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.090909091,0.045454545,0.136363636,138,395,222,26,27,118,0,125,88,0,8,Benign
Benign,41,12,12.94556053,0,291.6496521,2031,49.53658537,11957,291.6496521,0,1129,4187,45,814,1155,107,733,144,455,354,65,102,65,0.032844871,0.051541182,0.032844871,3,4,18,1.5,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.146341463,138,395,222,26,27,118,0,122,88,0,8,Benign
Benign,43,15,13.93387796,0,287.856031,2133,49.44455056,12418,288.810583,0,1063,4343,48,838,1269,106,777,150,397,356,53,95,53,0.024979696,0.044774926,0.024979696,4,4,24,1.0,0,0,0,0,4,2,6,0.0,0.0,0.003293936,0.0,0.096010779,0.046358422,0.142369201,138,395,222,26,27,118,0,123,88,0,8,Benign
Ransomware-Pysa-7e61b375bbbba9bd468ba69b717f64f641c19b6958554b0beb198a4d0900111a-4.raw,41,16,9.682926829,0,207.5853659,1605,39.14634146,8511,207.5853659,0,640,2980,44,667,717,103,642,126,180,267,45,85,45,0.027322404,0.051608986,0.027322404,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.146341463,138,389,221,26,24,116,0,121,87,0,8,Malware
Ransomware-Conti-0f402ea0b0269380dc4ae521f08986cb58fef2d93e7463e99788d98ae0f27941-6.raw,43,17,9.395348837,0,200.5581395,1631,37.93023256,8624,200.5581395,0,666,2986,46,742,721,108,626,122,185,266,45,87,45,0.027059531,0.052315093,0.027059531,3,3,18,1.0,2,0,2,2,6,4,8,0.044444444,0.0,0.044444444,0.044444444,0.133333333,0.088888889,0.177777778,138,389,221,26,24,116,0,121,87,0,8,Malware
